Student_ID,Gender,Department,Average_Attendance_On_Class,Are_You_Engaged_With_Any_Co-Curriculum_Activities?,What_Is_Your_Current_CGPA?,Feedback_Rating,Teacher_Feedback,password,Name
S001,Female,ME,94.34,No,6.6,6.5,Average,pass123,Keerthi
S002,Female,IT,77.65,Yes,9.55,9,Excellent,9D1xb4I$W,Sneha
S003,Male,CIVIL,76.26,No,6.27,6.5,Average,xH@G87R1A,Nikhil
S004,Female,CIVIL,72.74,Yes,8.43,7,Good,4ZC6$NAF5,Saanvi
S005,Male,CSE,69.24,No,5.75,3,Poor,8H^47HeiD,Vihaan
S006,Female,IT,67.66,No,7.46,7,Good,8P#jG2UD8,Lavanya
S007,Female,ME,47.14,No,6.19,4.5,Average,fJ6jE50@T,Keerthi
S008,Female,ECE,72.86,No,9.72,8,Good,13gDl!Q2U,Saanvi
S009,Female,IT,64.41,No,8.86,8,Good,xjU02ej6^,Meera
S010,Male,ME,93.07,No,9.94,10,Excellent,t78ljq&9k,Rohan
S011,Male,ME,90.52,Yes,9.01,9,Excellent,AJ8T2i4#a,Rohit
S012,Male,CIVIL,77.4,Yes,9.43,8,Good,Esm01H3#b,Kiran
S013,Male,ECE,93.86,No,6.7,7.5,Good,T829rrW&b,Aarav
S014,Female,AI-DS,78.48,No,5.21,5,Average,TnV97$QF2,Harini
S015,Male,CSE,69.53,No,9.59,7.5,Good,Z4zoIl*97,Rohan
S016,Female,ECE,54.4,Yes,9.41,7,Good,9Nh#fZ00h,Diya
S017,Male,CSE,38.31,No,8.57,5,Average,f1a4ho&3V,Vihaan
S018,Female,AI-DS,89.07,Yes,7.86,7,Good,01AfVQ4!E,Saanvi
S019,Male,AI-DS,68.99,No,7.19,6.5,Average,$qwl9c49R,Vihaan
S020,Male,AI-DS,73.75,No,9.16,8,Good,V2Mj70In$,Karan
S021,Female,IT,60.21,Yes,7.64,6,Average,Zz4^7gZ4j,Diya
S022,Female,CSE,90.94,Yes,9.84,10,Excellent,7Au8S8m&m,Lavanya
S023,Male,CSE,78.31,No,6.15,6,Average,O8*mZ7gB1,Suresh
S024,Male,ME,88.21,No,6.85,6.5,Average,6Yk$XSE16,Varun
S025,Male,CIVIL,97.84,No,5.67,6,Average,2WQ*o30bb,Arjun
S026,Male,CIVIL,44.09,No,6.28,4.5,Average,a0uJ60!eN,Rahul
S027,Female,AI-DS,93.11,Yes,9.65,10,Excellent,b9r^17PqT,Keerthi
S028,Male,CIVIL,87.5,No,8.67,9,Excellent,xV0MJ5!l1,Rohit
S029,Female,CIVIL,65.3,No,4.6,3,Poor,9s4#Zwi4G,Aaradhya
S030,Male,AI-DS,68.43,No,6.81,6.5,Average,8@0up8pKN,Anil
S031,Male,CSE,81.22,No,9.22,9,Excellent,%DTv9V31G,Rahul
S032,Female,AI-DS,82.3,No,7.69,8,Good,4aH49g$tA,Ishita
S033,Female,CSE,72.04,Yes,8.8,8.5,Good,929BP!Uuk,Anjali
S034,Male,ECE,71.05,No,5.29,5,Average,N7&1Pi8WS,Rakesh
S035,Female,AI-DS,95.87,No,7.04,7,Good,7HDH8K&M6,Priya
S036,Female,CIVIL,87.82,Yes,6.13,6.5,Average,7oOn#c8l5,Lavanya
S037,Female,AI-DS,74.22,Yes,7.05,7.5,Good,PT@1Z86lO,Divya
S038,Male,CIVIL,70.8,No,9.7,8,Good,8arm8ij^8,Siddharth
S039,Male,AI-DS,91.57,Yes,5.08,6.5,Average,z8Ap7!8pp,Karan
S040,Female,IT,57.09,No,9.75,7,Good,9AN4Ur$G0,Navya
S041,Female,AI-DS,98.51,Yes,5.42,6.5,Average,gAs!zD256,Saanvi
S042,Male,IT,81.29,No,9.21,9,Excellent,N9aU06@Es,Kiran
S043,Female,ECE,67.51,No,7.99,7.5,Good,f&18Dg0mk,Navya
S044,Female,AI-DS,87.96,No,8.88,9,Excellent,U2q89^teI,Sneha
S045,Male,IT,85.81,Yes,7.55,8,Good,AU5%K45jo,Vivek
S046,Male,AI-DS,87.54,Yes,8.19,9,Excellent,!Ps7moH64,Vivek
S047,Female,CIVIL,63.97,Yes,9.77,7.5,Good,64MJjY#t9,Lavanya
S048,Male,ECE,98.91,Yes,9.81,10,Excellent,4D2Li1$no,Akhil
S049,Male,CSE,89.99,Yes,9.29,10,Excellent,d7yg52^XS,Vamsi
S050,Female,CSE,72.33,No,7.92,8,Good,t9K*SAo73,Saanvi
S051,Female,IT,50.78,No,7.57,7.5,Good,h5YZ36X$M,Keerthi
S052,Female,ECE,57.11,No,7.39,6,Average,URXo*146q,Keerthi
S053,Male,CIVIL,51.22,Yes,5.53,5.5,Average,T4lm4B!P6,Rakesh
S054,Male,AI-DS,77.87,Yes,5.36,6,Average,21llpwg!0,Rohit
S055,Male,IT,53.31,Yes,7.75,8.5,Average,I3T40PU*y,Rahul
S056,Female,AI-DS,53.5,Yes,5.26,5.5,Average,6#YLGt46z,Nisha
S057,Female,CIVIL,91.79,Yes,8.46,9,Excellent,S6O&P5ZZ0,Keerthi
S058,Female,ME,91.2,Yes,7.17,8,Good,7Pj0Z@3tK,Charitha
S059,Male,CSE,92.66,No,8.48,9,Excellent,043!YMELa,Vivek
S060,Male,ME,69.23,No,6.25,7,Good,eI3N*5Jj4,Siddharth
S061,Male,CSE,71.7,No,9.75,8.5,Good,0G0&TOh2J,Sai
S062,Female,IT,75.34,Yes,7.23,8,Good,Pl#1d59OJ,Pooja
S063,Female,AI-DS,88.45,Yes,8.78,9,Excellent,$V75G5Ujg,Nisha
S064,Male,CIVIL,50.39,No,5.4,5.5,Average,0^euMM0s8,Vivek
S065,Male,ECE,95.23,Yes,8.89,9.5,Excellent,a45xR#dH5,Rahul
S066,Female,CIVIL,73.93,No,6.05,7,Good,L7v%ge9o9,Divya
S067,Male,ME,69.36,No,5.98,6,Average,u2Wq!25dP,Rohan
S068,Male,AI-DS,82.31,Yes,7.28,8.5,Good,5grj1H3&w,Siddharth
S069,Female,IT,98.74,No,5.69,6,Average,w!fMq1t74,Navya
S070,Female,CSE,64.8,Yes,9.04,7,Good,4o8r3HN%u,Charitha
S071,Female,AI-DS,96.21,Yes,6.99,7.5,Good,J8b@Jm3a8,Divya
S072,Female,CIVIL,61.36,Yes,7.11,7,Good,^jR75htJ3,Ananya
S073,Male,CIVIL,55.57,Yes,7.62,6,Average,#Fa02Xzl1,Vamsi
S074,Female,IT,86.3,Yes,5.53,6,Average,5id7a2R@m,Riya
S075,Male,AI-DS,92.97,Yes,6.07,7,Good,q2a0@4wxg,Nikhil
S076,Male,AI-DS,69.89,No,9.82,7.5,Good,53iEyQf$6,Vamsi
S077,Female,ECE,81.49,Yes,7.21,7,Good,DNw%44u6F,Nisha
S078,Male,ECE,70.05,No,8.51,8,Good,0jVm#g32N,Suresh
S079,Male,AI-DS,87.61,No,6.21,7,Good,0p63M%doD,Vamsi
S080,Male,ME,83.64,No,5.72,6,Average,H0A99rj$i,Vamsi
S081,Male,AI-DS,54.31,Yes,6.01,5.5,Average,!0UvdD2C6,Akhil
S082,Male,ECE,81.89,Yes,5.61,5.5,Average,C7W&ZKl95,Rahul
S083,Female,ME,67.37,Yes,8.13,7,Good,7gX7a%5kq,Navya
S084,Male,ECE,66.43,Yes,6.54,6,Average,21x5nX$kt,Karan
S085,Female,IT,91.3,Yes,8.66,9,Excellent,u^29agV1t,Bhavya
S086,Female,AI-DS,57.35,No,8.16,7,Good,s2es#n4X4,Ishita
S087,Male,IT,59.16,Yes,7.89,7,Good,ns3G84vm^,Akhil
S088,Male,ECE,59.69,No,5.82,6,Average,IJ5q^43PH,Rakesh
S089,Female,CSE,66.71,Yes,7.43,6.5,Average,44g*y2WjN,Charitha
S090,Female,CIVIL,55.56,No,5.44,5,Average,b3ppl99X#,Ishita
S091,Female,AI-DS,99.94,Yes,8.45,9,Excellent,0fA&U62wk,Aaradhya
S092,Male,CSE,90.69,Yes,7.16,8,Good,%4F1MuLc0,Manoj
S093,Male,ME,79.09,No,9.82,8.5,Good,8C00nzWq*,Kiran
S094,Female,AI-DS,80.68,No,5.14,6,Average,y50Mpv7L#,Pooja
S095,Female,ECE,97.04,Yes,6.53,7,Good,l05Fm*oM1,Navya
S096,Female,AI-DS,67.79,No,6.07,6,Average,E#I5h5Gf5,Pooja
S097,Female,CSE,50.28,No,4.66,4.5,Average,STVk5j54*,Ishita
S098,Male,CIVIL,78.81,Yes,6.52,7,Good,15^ENwhT0,Akhil
S099,Female,ME,68.15,Yes,8.99,8,Good,Df96yqO2*,Harini
S100,Male,IT,50.19,No,7.34,5.5,Average,aF2i6&KY1,Suresh
S101,Male,CSE,82.48,Yes,5.41,7,Good,UGrl7V95%,Manoj
S102,Female,AI-DS,85.02,No,9.12,9,Excellent,azF82D7I$,Kavya
S103,Female,IT,55.86,Yes,5.52,6,Average,J2%yt88FX,Keerthi
S104,Female,ME,61.02,No,8.8,7.5,Average,0VZ7#euX5,Priya
S105,Male,CSE,47.99,Yes,7.42,6,Average,u#b81S7Lw,Rahul
S106,Female,ME,88.57,Yes,6.57,7,Good,0kgUT32p*,Divya
S107,Female,AI-DS,38.51,No,5.02,4,Poor,!2TMayV00,Bhavya
S108,Female,ME,60.23,Yes,8.65,7,Good,i&W32li3D,Saanvi
S109,Female,ECE,28.65,Yes,5.54,3.5,Poor,X1Lr#07qr,Saanvi
S110,Female,AI-DS,30.55,No,3.03,3,Poor,1IS99SR^H,Navya
S111,Male,CSE,65.93,No,8.27,7.5,Good,!2WvNPE62,Varun
S112,Male,ME,66.31,No,8.61,7,Good,hcV6xD$34,Aditya
S113,Female,IT,81.09,No,6.92,7.5,Good,9w%u1g7iZ,Charitha
S114,Male,IT,93.84,No,7.24,8,Good,$Zf8Ju02Z,Aarav
S115,Male,CSE,86.34,Yes,6.89,7,Good,8pAf9$2MB,Akhil
S116,Female,ECE,83.93,No,8.84,9,Excellent,#4D8Wkp5G,Lavanya
S117,Female,CSE,39.05,No,5.05,4,Average,!90yT7Svl,Charitha
S118,Male,IT,96.49,Yes,9.36,10,Excellent,ma#438ZFw,Aditya
S119,Male,AI-DS,80.87,No,7.27,8,Good,1xK3Fk3M!,Vamsi
S120,Female,IT,62.65,Yes,6.55,7,Good,R*781UUur,Pooja
S121,Male,AI-DS,77.57,Yes,7.42,6,Average,TD4&O0Gr1,Suresh
S122,Male,ME,54.85,Yes,5.84,6,Average,N5sDjp$20,Rohit
S123,Female,ECE,68.22,No,6.51,6.5,Average,*6Bwi5Xg9,Ishita
S124,Female,ECE,42.66,Yes,5.61,6,Average,08gy1bu%z,Anjali
S125,Male,ECE,33.54,Yes,6.2,4.5,Average,968OwuK#v,Vivek
S126,Female,ECE,98.45,Yes,9.52,10,Excellent,M7sW@1j7z,Meera
S127,Female,AI-DS,89.01,No,5.26,7,Good,Px45UY*c2,Aaradhya
S128,Female,AI-DS,72.75,Yes,8.71,8,Good,4E3Anp@E2,Ananya
S129,Male,ME,86.83,Yes,9.12,9.5,Excellent,YtV4!Y71v,Aditya
S130,Female,CIVIL,85.65,Yes,8.27,9,Excellent,l6Rv8A1v%,Aaradhya
S131,Female,ECE,79.86,Yes,8.31,8,Good,#sK8TIV32,Aaradhya
S132,Male,ECE,54.51,Yes,8.74,7,Good,f9G1zz@S2,Karan
S133,Female,ME,68.57,No,9.12,7.5,Good,82@5borDR,Kavya
S134,Female,ME,68.63,No,8.97,7,Good,jYh6BO48#,Bhavya
S135,Male,ME,70.33,Yes,7.29,8,Good,QU#Azc531,Aarav
S136,Female,CIVIL,87.75,Yes,8.98,9,Excellent,wy0*22NKC,Saanvi
S137,Male,CIVIL,91.22,Yes,9.23,10,Excellent,Cz36KA5*G,Varun
S138,Female,ME,68.99,Yes,6.38,6.5,Average,7YBPJ&9t2,Anjali
S139,Male,IT,57.9,No,9.09,7,Good,Z%L8RV9X2,Vivek
S140,Male,CSE,62.6,Yes,8.66,7,Poor,v7UIhk$36,Rohit
S141,Female,ECE,86.11,No,8.06,9,Excellent,BUOM4D37#,Riya
S142,Female,ME,63.81,No,5.78,6,Average,6FwX3O$w0,Bhavya
S143,Female,ECE,60.83,Yes,6.87,6.5,Average,m0c7lNZ@1,Pooja
S144,Female,CSE,75.07,Yes,6.57,7,Good,73p%ra4ED,Diya
S145,Female,CIVIL,56.83,Yes,6.48,6,Average,5SRPL91Z#,Navya
S146,Male,CIVIL,69.86,Yes,8.52,7,Good,jr7Cf&0G1,Suresh
S147,Male,ME,87.77,No,8.23,9,Excellent,$V5fEN3a6,Rohit
S148,Female,ME,91.42,Yes,9.17,10,Excellent,zc8*CI3F7,Ishita
S149,Male,IT,80.03,No,6.72,7,Good,2a#UFsO60,Arjun
S150,Female,ME,52.01,No,5.84,6,Average,5X2kWd&z1,Saanvi
S151,Male,ECE,96.74,No,6.69,7.5,Good,bk714!DKs,Vivek
S152,Male,CIVIL,84.02,No,8.16,9,Excellent,HVT1#5N8g,Suresh
S153,Male,CSE,73.49,Yes,9.41,8,Good,zg^X098ce,Vivek
S154,Male,CSE,43.22,No,4.9,4.5,Average,%F2yq5M5f,Sai
S155,Female,CIVIL,45.32,Yes,3.76,3.5,Poor,mT1L#6TJ0,Bhavya
S156,Female,CSE,25.01,Yes,2.17,2,Poor,H6brR4!5j,Keerthi
S157,Female,ECE,97.38,No,7.42,8,Good,E7M*b4L1a,Pooja
S158,Male,ME,97.52,Yes,6.97,7.5,Good,bypsJ!020,Varun
S159,Male,CSE,98.18,No,6.32,7,Good,7W5D9oJ^S,Rohan
S160,Male,IT,82.3,Yes,7.28,8,Good,53SCvI6#N,Rakesh
S161,Female,CSE,74.58,No,5.09,6.5,Average,Y84J!SCp9,Ishita
S162,Male,AI-DS,20.18,No,1.97,2,Poor,i2*0G8FuT,Rohan
S163,Male,AI-DS,84.29,No,5.04,7,Good,D923YO%WT,Rahul
S164,Male,CSE,74.17,No,8.05,7.5,Good,mw2cf#G72,Varun
S165,Female,ECE,33.24,Yes,2.15,2,Poor,xph06^8He,Charitha
S166,Female,IT,60.62,Yes,9.18,7,Good,Jk!2q3D2n,Riya
S167,Female,CSE,53.18,No,8.44,6.5,Average,@EzYI823O,Navya
S168,Female,ME,18.05,No,3.03,3,Poor,*521AXkIz,Riya
S169,Female,ECE,38.21,No,4.05,3.5,Poor,8eT8Hg@G1,Lavanya
S170,Female,ME,89.84,Yes,8.81,9,Excellent,B8VzW9&1N,Keerthi
