Student_ID,Gender,Department,Average_Attendance_On_Class,Are_You_Engaged_With_Any_Co-Curriculum_Activities?,What_Is_Your_Current_CGPA?,Feedback_Rating,Teacher_Feedback,password
S2022_001,Other,IT,97.3,No,9.12,10,Good,Pwd0012022
S2022_002,Other,CSE,95.58,No,6.69,1,Excellent,Pwd0022022
S2022_003,Other,EEE,64.78,Yes,6.22,10,Excellent,Pwd0032022
S2022_004,Other,CIVIL,88.1,No,9.65,3,Good,Pwd0042022
S2022_005,Male,CIVIL,78.25,Yes,5.41,7,Good,Pwd0052022
S2022_006,Male,CIVIL,80.6,Yes,6.2,10,Average,Pwd0062022
S2022_007,Male,ECE,80.29,No,6.11,4,Good,Pwd0072022
S2022_008,Other,EEE,93.08,No,6.0,10,Excellent,Pwd0082022
S2022_009,Female,ECE,80.53,No,6.03,6,Average,Pwd0092022
S2022_010,Male,ECE,62.37,Yes,5.02,7,Poor,Pwd0102022
S2022_011,Other,MECH,90.18,Yes,7.77,10,Excellent,Pwd0112022
S2022_012,Male,CIVIL,78.96,Yes,7.14,4,Good,Pwd0122022
S2022_013,Other,ECE,79.96,No,9.3,2,Average,Pwd0132022
S2022_014,Female,CSE,97.31,Yes,6.23,5,Poor,Pwd0142022
S2022_015,Female,ECE,82.01,Yes,9.42,7,Excellent,Pwd0152022
S2022_016,Female,ECE,83.11,No,5.41,5,Poor,Pwd0162022
S2022_017,Male,CIVIL,66.68,Yes,5.85,10,Excellent,Pwd0172022
S2022_018,Male,CIVIL,86.84,Yes,7.63,10,Good,Pwd0182022
S2022_019,Female,ECE,74.75,No,8.92,3,Excellent,Pwd0192022
S2022_020,Other,CSE,71.95,Yes,9.86,6,Good,Pwd0202022
S2022_021,Other,BIOTECH,84.21,Yes,9.99,2,Poor,Pwd0212022
S2022_022,Other,MECH,70.58,No,7.53,3,Poor,Pwd0222022
S2022_023,Female,EEE,85.6,No,7.84,10,Excellent,Pwd0232022
S2022_024,Female,CIVIL,87.82,Yes,7.15,5,Good,Pwd0242022
S2022_025,Female,BIOTECH,74.03,Yes,5.04,2,Average,Pwd0252022
S2022_026,Male,CIVIL,98.65,No,5.69,4,Average,Pwd0262022
S2022_027,Female,MECH,77.38,No,8.69,8,Average,Pwd0272022
S2022_028,Male,MECH,70.89,No,7.52,10,Excellent,Pwd0282022
S2022_029,Female,EEE,89.56,Yes,8.03,3,Average,Pwd0292022
S2022_030,Other,MECH,85.64,No,7.86,1,Excellent,Pwd0302022
S2022_031,Male,CIVIL,68.34,Yes,5.18,6,Average,Pwd0312022
S2022_032,Female,EEE,65.52,No,5.12,4,Average,Pwd0322022
S2022_033,Other,EEE,82.8,Yes,7.81,10,Poor,Pwd0332022
S2022_034,Other,IT,74.78,No,7.63,3,Poor,Pwd0342022
S2022_035,Other,CIVIL,98.69,Yes,8.16,7,Good,Pwd0352022
S2022_036,Male,EEE,92.18,No,5.04,7,Excellent,Pwd0362022
S2022_037,Male,ECE,60.95,Yes,5.47,5,Poor,Pwd0372022
S2022_038,Male,ECE,79.16,No,6.22,8,Good,Pwd0382022
S2022_039,Male,BIOTECH,80.14,No,6.35,10,Poor,Pwd0392022
S2022_040,Female,MECH,98.55,Yes,6.92,9,Poor,Pwd0402022
S2022_041,Male,BIOTECH,96.79,Yes,5.79,6,Good,Pwd0412022
S2022_042,Male,BIOTECH,74.97,No,9.12,10,Good,Pwd0422022
S2022_043,Female,ECE,68.42,Yes,5.22,7,Poor,Pwd0432022
S2022_044,Other,MECH,88.17,No,9.91,6,Average,Pwd0442022
S2022_045,Other,ECE,61.58,No,9.67,10,Average,Pwd0452022
S2022_046,Other,BIOTECH,73.43,No,6.54,9,Poor,Pwd0462022
S2022_047,Other,CSE,77.41,No,8.36,8,Excellent,Pwd0472022
S2022_048,Female,ECE,76.15,Yes,9.06,6,Average,Pwd0482022
S2022_049,Other,ECE,93.21,No,9.87,8,Good,Pwd0492022
S2022_050,Female,CSE,78.87,Yes,7.7,6,Poor,Pwd0502022
S2022_051,Female,BIOTECH,67.74,Yes,7.54,9,Excellent,Pwd0512022
S2022_052,Female,CSE,70.36,Yes,8.07,2,Good,Pwd0522022
S2022_053,Female,ECE,77.65,Yes,9.35,3,Poor,Pwd0532022
S2022_054,Other,CSE,86.96,No,8.07,4,Average,Pwd0542022
S2022_055,Other,MECH,76.88,No,5.72,2,Poor,Pwd0552022
S2022_056,Female,MECH,66.02,No,8.03,4,Good,Pwd0562022
S2022_057,Other,ECE,64.94,Yes,6.46,8,Good,Pwd0572022
S2022_058,Male,BIOTECH,99.5,No,5.92,10,Poor,Pwd0582022
S2022_059,Male,BIOTECH,68.58,No,9.64,9,Poor,Pwd0592022
S2022_060,Other,BIOTECH,87.19,Yes,8.24,7,Poor,Pwd0602022
S2022_061,Male,EEE,85.94,No,7.94,9,Poor,Pwd0612022
S2022_062,Other,MECH,64.33,No,6.67,4,Average,Pwd0622022
S2022_063,Other,MECH,81.14,No,9.2,10,Average,Pwd0632022
S2022_064,Female,ECE,62.5,Yes,5.5,6,Excellent,Pwd0642022
S2022_065,Male,EEE,61.18,No,6.03,3,Average,Pwd0652022
S2022_066,Female,CIVIL,92.44,No,6.2,1,Good,Pwd0662022
S2022_067,Male,EEE,64.5,No,5.99,10,Excellent,Pwd0672022
S2022_068,Other,EEE,83.73,No,7.28,8,Good,Pwd0682022
S2022_069,Female,BIOTECH,92.22,Yes,8.45,1,Good,Pwd0692022
S2022_070,Male,IT,96.89,Yes,6.32,1,Poor,Pwd0702022
S2022_071,Female,CSE,86.49,No,5.69,8,Good,Pwd0712022
S2022_072,Other,MECH,64.84,No,5.49,5,Excellent,Pwd0722022
S2022_073,Female,EEE,91.67,No,5.13,4,Excellent,Pwd0732022
S2022_074,Male,CSE,95.59,Yes,6.09,5,Poor,Pwd0742022
S2022_075,Female,IT,63.78,Yes,5.74,6,Good,Pwd0752022
S2022_076,Other,CSE,91.92,Yes,9.93,8,Poor,Pwd0762022
S2022_077,Other,BIOTECH,73.04,No,6.6,1,Average,Pwd0772022
S2022_078,Male,EEE,71.88,Yes,6.17,2,Excellent,Pwd0782022
S2022_079,Male,IT,78.15,No,6.83,9,Average,Pwd0792022
S2022_080,Male,MECH,82.79,Yes,8.3,8,Good,Pwd0802022
S2022_081,Male,CSE,86.69,No,9.52,10,Average,Pwd0812022
S2022_082,Other,CIVIL,64.23,Yes,6.4,1,Poor,Pwd0822022
S2022_083,Male,BIOTECH,75.31,Yes,7.65,7,Excellent,Pwd0832022
S2022_084,Female,CIVIL,75.45,Yes,8.59,8,Average,Pwd0842022
S2022_085,Female,EEE,67.17,Yes,8.57,7,Poor,Pwd0852022
S2022_086,Other,CSE,87.88,Yes,8.33,7,Excellent,Pwd0862022
S2022_087,Other,CIVIL,86.49,No,7.2,7,Good,Pwd0872022
S2022_088,Male,BIOTECH,85.36,Yes,7.12,6,Good,Pwd0882022
S2022_089,Other,IT,99.74,No,8.5,2,Poor,Pwd0892022
S2022_090,Female,CSE,87.2,Yes,5.09,1,Average,Pwd0902022
S2022_091,Female,IT,90.22,No,8.57,10,Good,Pwd0912022
S2022_092,Male,ECE,76.0,No,6.93,5,Poor,Pwd0922022
S2022_093,Female,IT,93.49,Yes,7.17,4,Excellent,Pwd0932022
S2022_094,Male,IT,93.48,Yes,7.46,3,Average,Pwd0942022
S2022_095,Male,CIVIL,82.65,No,5.83,10,Average,Pwd0952022
S2022_096,Female,EEE,65.35,Yes,6.28,2,Good,Pwd0962022
S2022_097,Female,CIVIL,82.02,Yes,8.54,10,Good,Pwd0972022
S2022_098,Other,ECE,70.42,Yes,5.98,3,Excellent,Pwd0982022
S2022_099,Female,EEE,85.96,No,5.52,1,Good,Pwd0992022
S2022_100,Male,CSE,70.59,Yes,6.47,1,Good,Pwd1002022
